incident_id,company_name,company_revenue_usd,company_size_revenue,country_hq,industry_primary,industry_secondary,tipo_industria,employee_count,company_size_employee,is_public_company,stock_ticker,incident_date,incident_year,incident_month,incident_quarter,incident_quarter_label,incident_year_quarter,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_vector_secondary_label,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_impact_category,data_type,systems_affected,downtime_hours,downtime_impact_category,quality_score,direct_loss_usd,ransom_paid_usd,recovery_cost_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,price_disclosure_day,sector_return_same_period,abnormal_return_1d,abnormal_return_30d,days_to_price_recovery,rango_recuperacion,estado_recuperacion,company_size
2025-0818-001,MarketFresh Stores Corp.,108537488953.55,100B–1T,CA,44-45,,Solo Primaria,723769,Muy grande,True,MAR1.TO,2025-08-18,2025,8,3,Q3,2025 Q3,False,2025-08-26,2025-09-16,apt,ddos,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,BlackBasta,suspected,143751.0,Alto,IP,HR_systems,134.16,Alto,54.42,33032603.33,0.0,21055688.46,0.0,,56019254.36,435.67,0.021834,-0.090252,-0.059287,298.0,>30 días,Recuperación lenta,Mediana
2025-0626-001,VectorWire Security Ltd.,901886399.41,< 1B,AU,51,,Solo Primaria,1575,Muy grande,True,VECT.AX,2025-06-26,2025,6,2,Q2,2025 Q2,False,2025-07-08,2025-08-16,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Killnet,suspected,61262.0,Medio,credentials,"HR_systems,customer_database,VPN,SSO",,Sin dato,60.26,2600000.0,0.0,2805967.97,50000.0,,5844869.23,14.24,-0.003939,-0.026375,-0.002686,8.0,8-30 días,Recuperación rápida,Pequeña
2023-1214-001,Bordeaux Insurance SA,17651968152.39,10B–100B,FR,52,,Solo Primaria,65575,Muy grande,True,BORD.PA,2023-12-14,2023,12,4,Q4,2023 Q4,False,2023-12-15,2023-12-27,supply_chain,,Sin vector secundario,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,Turla,probable,,Sin dato,,"email,SCADA,customer_database,HR_systems,cloud_infrastructure",,Sin dato,79.68,4758332.84,0.0,1803463.66,0.0,2516272.49,7773167.06,251.79,-0.018686,-0.034562,0.00891,57.0,>30 días,Recuperación lenta,Mediana
2025-0810-001,Forge Shop Outlets Co.,107194946506.97,100B–1T,US,44-45,,Solo Primaria,830594,Muy grande,True,FSO,2025-08-10,2025,8,3,Q3,2025 Q3,False,2025-08-24,2025-10-16,ransomware,data_breach,data_breach,,Hunters_International,unknown,,Sin dato,,"website,HR_systems,manufacturing_OT",106.43,Alto,99.23,36626897.89,1055021.6,24374587.93,0.0,24265447.12,68871426.71,714.15,0.00248,-0.026753,-0.038507,54.0,>30 días,Recuperación lenta,Mediana
2025-1201-001,Wolverine Risk Bancorp Co.,307240029.02,< 1B,US,52,,Solo Primaria,621,Grande,True,WRB,2025-12-01,2025,12,4,Q4,2025 Q4,False,2026-01-02,2026-02-02,phishing,,Sin vector secundario,,,,4291.0,Medio,PII,active_directory,,Sin dato,75.45,6859602.15,0.0,7259803.24,0.0,6194056.42,15684199.97,9.26,0.028603,0.003605,0.012503,,Sin dato,No recuperado,Pequeña
2021-0312-001,LinkSignal Labs Group Ltd.,2346673709.12,1B–10B,AU,51,,Solo Primaria,5401,Muy grande,False,,2021-03-12,2021,3,1,Q1,2021 Q1,False,2021-03-30,2021-04-23,phishing,,Sin vector secundario,,FIN7,probable,5344.0,Medio,mixed,"SCADA,cloud_infrastructure,website",,Sin dato,74.72,256050.66,0.0,302688.88,0.0,,634405.9,,,,,,,,Mediana
2023-0512-001,Gallagher Administration Group Inc.,826792409.83,< 1B,US,92,51,Primaria y Secundaria,5756,Muy grande,False,,2023-05-12,2023,5,2,Q2,2023 Q2,True,2023-06-12,2023-06-27,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Vice_Society,suspected,13561.0,Medio,IP,"ERP,HR_systems,VPN,customer_database",235.57,Alto,74.28,666313.76,0.0,221686.5,0.0,570903.24,1088468.06,,,,,,,,Pequeña
2022-0227-001,Harbor Prime Group Group PLC,1522942145.8,1B–10B,GB,44-45,,Solo Primaria,12948,Muy grande,True,HARB.L,2022-02-27,2022,2,1,Q1,2022 Q1,True,2022-03-11,2022-03-29,data_breach,supply_chain,supply_chain,,,,4046.0,Medio,PII,"SSO,active_directory,manufacturing_OT,file_servers",,Sin dato,83.94,4706515.66,0.0,4392126.68,0.0,,9773054.9,20.17,0.005274,-0.027774,0.000772,37.0,>30 días,Recuperación lenta,Mediana
2024-1210-001,Coleman Rail SA,8988470795.46,1B–10B,CH,48-49,,Solo Primaria,45206,Muy grande,True,COLE.SW,2024-12-10,2024,12,4,Q4,2024 Q4,False,2025-02-13,2025-02-18,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,DarkSide,suspected,8233944.0,Alto,mixed,"active_directory,customer_database,VPN",,Sin dato,83.28,8234612.8,0.0,8657373.3,0.0,9768917.73,19171770.15,61.67,-0.007967,-0.068067,-0.042848,101.0,>30 días,Recuperación lenta,Mediana
2025-1022-001,Brooks Consulting Co.,4675299195.72,1B–10B,US,54,,Solo Primaria,16667,Muy grande,False,,2025-10-22,2025,10,4,Q4,2025 Q4,False,2025-11-02,2025-12-22,ransomware,,Sin vector secundario,,Play,probable,125179.0,Alto,mixed,"HR_systems,backup_systems",39.44,Medio,74.47,8439272.35,0.0,2923220.19,0.0,2374517.47,12739363.14,,,,,,,,Mediana
2024-0722-001,Gallagher Bank Inc.,4256767662.67,1B–10B,US,52,,Solo Primaria,10084,Muy grande,False,,2024-07-22,2024,7,3,Q3,2024 Q3,False,2024-10-24,2024-11-11,malware,,Sin vector secundario,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Scattered_Spider,unknown,220581.0,Alto,mixed,"file_servers,backup_systems",64.41,Medio,74.4,1000000.0,0.0,1125209.45,0.0,390215.02,2337850.51,,,,,,,,Mediana
2023-1119-001,Canberra Sciences Pty Ltd.,205226510.32,< 1B,AU,62,,Solo Primaria,1087,Muy grande,False,,2023-11-19,2023,11,4,Q4,2023 Q4,False,2023-12-01,2023-12-11,phishing,,Sin vector secundario,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1360.0,Medio,health,manufacturing_OT,,Sin dato,92.53,,,,,,,,,,,,,,Pequeña
2022-0219-001,FundRisk Bank Technologies Ltd.,61550130971.46,10B–100B,IL,52,,Solo Primaria,123675,Muy grande,True,FBT.TA,2022-02-19,2022,2,1,Q1,2022 Q1,False,2022-03-06,2022-03-21,ransomware,,Sin vector secundario,,Hunters_International,probable,356997.0,Alto,credentials,ERP,33.7,Medio,81.69,22214980.08,0.0,12952138.1,0.0,,42685572.85,358.94,0.019177,-0.037029,-0.00063,22.0,8-30 días,Recuperación rápida,Mediana
2024-0718-001,Vertex Vista Technologies Pvt. Ltd.,8402494685.27,1B–10B,IN,51,,Solo Primaria,18988,Muy grande,True,VVT.NS,2024-07-18,2024,7,3,Q3,2024 Q3,False,2024-07-25,2024-08-01,phishing,,Sin vector secundario,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Play,probable,1134910.0,Alto,financial,SCADA,,Sin dato,84.79,6655022.88,0.0,2808024.17,0.0,,9809309.29,91.89,-0.004043,-0.009839,-0.010211,16.0,8-30 días,Recuperación rápida,Mediana
2025-0825-001,Atlas Element MedTech S.p.A.,10118710778.4,10B–100B,IT,62,,Solo Primaria,63912,Muy grande,True,AEM.MI,2025-08-25,2025,8,3,Q3,2025 Q3,False,2025-11-24,2025-12-12,data_breach,ddos,ddos,,APT28,probable,23023.0,Medio,PII,"SCADA,active_directory,manufacturing_OT,VPN",,Sin dato,83.34,19500000.0,0.0,6627406.97,0.0,17293743.72,32856514.97,,,,,,,,Mediana
2023-0601-001,Eindhoven Agency N.V.,1330577929.75,1B–10B,NL,92,,Solo Primaria,14167,Muy grande,False,,2023-06-01,2023,6,2,Q2,2023 Q2,False,2023-06-15,2023-06-20,malware,,Sin vector secundario,,DarkSide,probable,1000.0,Medio,credentials,"email,VPN,CRM",420.72,Alto,76.88,2061300.54,0.0,1452428.45,0.0,1122690.29,3882425.27,,,,,,,,Mediana
2024-0706-001,Atlanta Builders Group Inc.,131344615.21,< 1B,US,23,,Solo Primaria,917,Grande,False,,2024-07-06,2024,7,3,Q3,2024 Q3,False,2024-07-16,2024-07-29,ddos,,Sin vector secundario,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,Sin dato,,"ERP,file_servers,SSO,cloud_infrastructure,SCADA",327.76,Alto,90.83,6839661.26,0.0,3118279.01,0.0,6076682.86,10642314.43,,,,,,,,Pequeña
2022-0716-001,Indigo Grid Corp Corp.,472599840.83,< 1B,JP,22,,Solo Primaria,2005,Muy grande,False,,2022-07-16,2022,7,3,Q3,2022 Q3,False,2023-01-16,2023-02-21,data_breach,,Sin vector secundario,,REvil,suspected,67418.0,Medio,PII,"SCADA,CRM,VPN,cloud_infrastructure",,Sin dato,76.58,92156968.96,0.0,63159811.4,0.0,,176959416.91,,,,,,,,Pequeña
2022-1227-001,Takahashi Sciences Holdings Inc.,10092452867.3,10B–100B,US,62,,Solo Primaria,64897,Muy grande,False,,2022-12-27,2022,12,4,Q4,2022 Q4,True,2023-01-07,2023-01-22,apt,,Sin vector secundario,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,112824.0,Alto,mixed,"CRM,SSO",18.65,Bajo,79.44,116114353.03,0.0,69036990.63,0.0,,191043209.52,,,,,,,,Mediana
2021-1001-001,Ottawa Solutions Corp.,588367670.93,< 1B,CA,56,52,Primaria y Secundaria,20229,Muy grande,False,,2021-10-01,2021,10,4,Q4,2021 Q4,True,2021-10-11,2021-12-02,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,6094.0,Medio,credentials,"email,ERP,customer_database,cloud_infrastructure",320.38,Alto,94.97,23400000.0,237079.86,21340436.19,0.0,,46212710.42,,,,,,,,Pequeña
2021-1016-001,Novak Power GmbH,486061480.5,< 1B,DE,22,52,Primaria y Secundaria,1169,Muy grande,False,,2021-10-16,2021,10,4,Q4,2021 Q4,False,2021-10-21,2021-11-02,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Rhysida,probable,73945.0,Medio,mixed,"file_servers,active_directory,backup_systems,customer_database",,Sin dato,81.61,6575299.8,0.0,3721539.77,0.0,,10733247.08,,,,,,,,Pequeña
2024-0107-001,Compass Mold Materials S.A.,13786299333.98,10B–100B,BR,31-33,,Solo Primaria,46925,Muy grande,True,CMM.SA,2024-01-07,2024,1,1,Q1,2024 Q1,False,2024-07-07,2024-07-19,backdoor,,Sin vector secundario,Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,Cuba_Ransomware,confirmed,,Sin dato,,payment_systems,,Sin dato,77.47,15844523.78,0.0,12044598.64,0.0,10239134.02,29647218.87,86.98,-0.007038,-0.049546,-0.011652,45.0,>30 días,Recuperación lenta,Mediana
2023-0913-001,Meridian Crest Education Group PLC,168368637.62,< 1B,GB,61,,Solo Primaria,2843,Muy grande,False,,2023-09-13,2023,9,3,Q3,2023 Q3,False,2023-12-13,2023-12-31,data_breach,,Sin vector secundario,,Vice_Society,suspected,202763.0,Alto,health,"customer_database,SSO",,Sin dato,86.17,4198928.35,0.0,2496560.31,124757.91,3507319.63,7726910.33,,,,,,,,Pequeña
2022-1007-001,ToolComposite Defense Co. Ltd.,53071232.49,< 1B,KR,31-33,,Solo Primaria,155,Mediana,False,,2022-10-07,2022,10,4,Q4,2022 Q4,False,2022-12-07,2022-12-20,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,14466.0,Medio,financial,"SSO,CRM,backup_systems,payment_systems",59.18,Medio,98.82,6983748.03,475600.52,7323925.36,0.0,9538312.17,15815998.94,,,,,,,,Pequeña
2022-1218-001,Houston Management Inc.,38449985.56,< 1B,US,56,,Solo Primaria,542,Grande,True,HOUS,2022-12-18,2022,12,4,Q4,2022 Q4,False,2022-12-30,2023-01-29,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,,Sin dato,,HR_systems,121.22,Alto,73.31,4237981.14,6596009.29,2621398.69,0.0,1845241.56,14822101.02,,,,,,,,Pequeña
2023-0214-001,Delhi BioSciences Holdings Ltd.,19776565178.07,10B–100B,IN,62,,Solo Primaria,111872,Muy grande,False,,2023-02-14,2023,2,1,Q1,2023 Q1,False,2023-02-22,2023-03-18,ddos,,Sin vector secundario,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,,,,Sin dato,,"VPN,CRM,file_servers,cloud_infrastructure",38.05,Medio,60.54,,,,,,,,,,,,,,Mediana
2021-1203-001,SaveSave Commerce Corp.,118110131055.27,100B–1T,US,44-45,,Solo Primaria,1136850,Muy grande,True,SAVE,2021-12-03,2021,12,4,Q4,2021 Q4,True,2021-12-14,2022-01-28,data_breach,,Sin vector secundario,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,72028142.0,Alto,PII,"VPN,CRM,SSO",,Sin dato,85.57,90053977.84,0.0,41399064.05,0.0,35287361.79,157634194.73,282.32,0.001843,-0.034839,-0.017066,51.0,>30 días,Recuperación lenta,Mediana
2022-0209-001,Flynn Pharmaceuticals Co. Ltd.,36253095.63,< 1B,JP,62,,Solo Primaria,434,Grande,False,,2022-02-09,2022,2,1,Q1,2022 Q1,False,2022-02-18,2022-02-26,data_breach,,Sin vector secundario,,Conti,probable,12849.0,Medio,PII,CRM,,Sin dato,56.99,7069353.65,0.0,7205616.21,367106.99,8730878.79,15066406.57,,,,,,,,Pequeña
2023-1111-001,Hughes Education Corp.,9358322328.66,1B–10B,US,61,,Solo Primaria,192975,Muy grande,False,,2023-11-11,2023,11,4,Q4,2023 Q4,False,2024-02-14,2024-02-25,ransomware,,Sin vector secundario,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Royal,unknown,1000.0,Medio,health,"website,ERP,email",66.74,Medio,94.57,9000000.0,1816025.5,6310779.69,0.0,4682585.27,18287704.3,,,,,,,,Mediana
2025-0901-001,Santos Services Group PLC,4527931829.25,1B–10B,GB,52,,Solo Primaria,9697,Muy grande,True,SANT.L,2025-09-01,2025,9,3,Q3,2025 Q3,True,2025-09-11,2025-11-10,phishing,,Sin vector secundario,,,,8951.0,Medio,PII,"customer_database,website",,Sin dato,98.66,3225642.15,0.0,3503433.25,0.0,2752984.95,7651496.78,,,,,,,,Mediana
2025-1016-001,Gallagher Staffing Ltd.,576231851.27,< 1B,IL,56,,Solo Primaria,9593,Muy grande,False,,2025-10-16,2025,10,4,Q4,2025 Q4,False,2025-12-17,2026-02-20,ddos,,Sin vector secundario,,,,,Sin dato,,"payment_systems,active_directory",113.32,Alto,96.9,386961.71,0.0,227835.89,0.0,266554.75,718750.93,,,,,,,,Pequeña
2023-0129-001,Sullivan Agency PLC,379566992.25,< 1B,GB,92,72,Primaria y Secundaria,3373,Muy grande,False,,2023-01-29,2023,1,1,Q1,2023 Q1,False,2023-02-13,2023-02-24,backdoor,,Sin vector secundario,Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,,,,Sin dato,,"SSO,email",,Sin dato,97.35,2140482.73,0.0,2319068.97,0.0,2952448.34,4943437.95,,,,,,,,Pequeña
2022-1020-001,Flynn Holdings Group Ltd.,160877791.78,< 1B,AU,52,,Solo Primaria,410,Grande,False,,2022-10-20,2022,10,4,Q4,2022 Q4,False,2022-12-20,2023-02-28,ransomware,ddos,ddos,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,,Sin dato,,"backup_systems,customer_database,HR_systems,SSO",134.87,Alto,59.13,3644588.12,0.0,3230270.69,0.0,1295633.78,7263036.69,,,,,,,,Pequeña
2022-0424-001,Mantis Lantern Biotech Group AB,455159513.75,< 1B,SE,62,,Solo Primaria,2385,Muy grande,False,,2022-04-24,2022,4,2,Q2,2022 Q2,False,2022-05-29,2022-07-23,malware,,Sin vector secundario,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,27829.0,Medio,credentials,"VPN,customer_database,HR_systems,file_servers,backup_systems",17.04,Bajo,71.75,13893301.83,0.0,6786101.75,0.0,13347109.61,24598185.55,,,,,,,,Pequeña
2023-0902-001,Anderson Securities Inc.,4681402229.24,1B–10B,US,52,,Solo Primaria,16493,Muy grande,False,,2023-09-02,2023,9,3,Q3,2023 Q3,False,2023-09-09,2023-10-14,apt,,Sin vector secundario,,Conti,suspected,903745.0,Alto,PII,"payment_systems,customer_database,ERP",67.98,Medio,75.03,74754449.46,0.0,84202280.68,1429526.71,,173170575.41,,,,,,,,Mediana
2021-1124-001,Genoa Group S.r.l.,34348692144.96,10B–100B,IT,52,,Solo Primaria,71320,Muy grande,False,,2021-11-24,2021,11,4,Q4,2021 Q4,False,2021-12-05,2022-01-13,apt,,Sin vector secundario,,Medusa,confirmed,233574.0,Alto,credentials,payment_systems,9.85,Bajo,74.21,15400000.0,0.0,12217203.27,0.0,8710578.67,32593050.89,,,,,,,,Mediana
2023-0216-001,Belfast Advisory Ltd.,6350774936.77,1B–10B,GB,54,,Solo Primaria,21535,Muy grande,True,BEL1.L,2023-02-16,2023,2,1,Q1,2023 Q1,False,2023-04-17,2023-06-02,apt,,Sin vector secundario,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,228075.0,Alto,PII,SSO,134.74,Alto,69.01,6600000.0,0.0,7810520.87,5640788.44,,22053122.01,88.44,0.012749,-0.061354,-0.047661,276.0,>30 días,Recuperación lenta,Mediana
2023-1013-001,DynamicMachine Products Pty Ltd.,93037502.07,< 1B,AU,31-33,,Solo Primaria,323,Grande,False,,2023-10-13,2023,10,4,Q4,2023 Q4,True,2024-01-15,2024-01-28,apt,,Sin vector secundario,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Hive,confirmed,87460.0,Medio,PII,"active_directory,SSO,website,ERP",167.96,Alto,70.26,30702375.68,0.0,27298599.33,0.0,,63738093.91,,,,,,,,Pequeña
2024-1202-001,Munich Genomics GmbH,314057889.27,< 1B,DE,62,,Solo Primaria,1759,Muy grande,True,MUNI.DE,2024-12-02,2024,12,4,Q4,2024 Q4,False,2024-12-12,2024-12-25,ransomware,,Sin vector secundario,,,,44647095.0,Alto,health,backup_systems,4.0,Bajo,71.61,5400000.0,0.0,1856058.0,0.0,3654172.91,9041257.41,8.94,-0.00632,-0.044712,0.001871,17.0,8-30 días,Recuperación rápida,Pequeña
2024-1210-002,Element Sentinel Healthcare Holdings PLC,94307168.16,< 1B,GB,62,,Solo Primaria,629,Grande,False,,2024-12-10,2024,12,4,Q4,2024 Q4,False,2024-12-16,2025-01-17,phishing,,Sin vector secundario,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,DarkSide,suspected,2378160.0,Alto,credentials,"payment_systems,SSO,active_directory,email,manufacturing_OT",,Sin dato,96.25,345832.75,0.0,262774.12,0.0,,708569.86,,,,,,,,Pequeña
2024-1009-001,Delacroix Brands Holdings Inc.,271470360.97,< 1B,US,44-45,,Solo Primaria,3950,Muy grande,False,,2024-10-09,2024,10,4,Q4,2024 Q4,True,2024-10-15,2024-10-31,ddos,,Sin vector secundario,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,Turla,suspected,,Sin dato,,"manufacturing_OT,CRM,SCADA,website,SSO",6.74,Bajo,87.41,24432332.49,0.0,25869588.47,0.0,,53730911.98,,,,,,,,Pequeña
2024-0915-001,ServiceLink Staffing Inc.,27180206.2,< 1B,CA,56,,Solo Primaria,862,Grande,False,,2024-09-15,2024,9,3,Q3,2024 Q3,False,2024-09-20,2024-10-21,malware,,Sin vector secundario,,APT28,probable,14963.0,Medio,health,ERP,16.93,Bajo,98.74,481806.12,0.0,163557.03,1454846.19,502066.22,2254138.92,,,,,,,,Pequeña
